"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT2G43710.2;AT2G43710.1", 747.4,757.1,767.8,778.8, 1,1, 23,,,, 23.7,,,, 48827,,,, 2.0981,,,, 1.8158e+05,,,
"AT5G55220.1", 721.4,718,709.3,711.1, 3,1, 14,23,32,, 23.1,,,, 72980,,,, 1.632,,,, 2.111e+05,,,
"AT5G54160.1", 691,684.2,694.7,, 2,1, 16,23,,, 23.1,,,, 98429,,,, 1.408,,,, 2.4564e+05,,,
"AT4G11010.1", 753,763,774.2,, 1,1, 23,,,, 23.2,,,, 99230,,,, 1.6111,,,, 2.8336e+05,,,
"AT5G65780.1", 559.7,,,, 1,1, 24,,,, 23.6,,,, 9008.3,,,, 0.94971,,,, 15164,,,
"AT1G12780.1;AT1G63180.1", 523.9,,,, 1,1, 24,,,, 23.8,,,, 12942,,,, 0.71,,,, 16287,,,
"AT5G16990.1", 619.4,,,, 1,1, 24,,,, 24.5,,,, 6873.1,,,, 1.0346,,,, 12603,,,
"AT5G13690.1", 628.6,,,, 1,1, 24,,,, 24.2,,,, 11879,,,, 0.71724,,,, 15102,,,
"AT2G19520.1", 598.7,,,, 1,1, 24,,,, 24,,,, 15999,,,, 0.84757,,,, 24035,,,
"AT5G21060.1;AT5G21060.2;AT5G21060.3", 611.8,,,, 1,1, 24,,,, 23.7,,,, 10370,,,, 1.7416,,,, 32012,,,
"AT4G38800.1", 651.2,,,, 1,1, 24,,,, 23.5,,,, 14198,,,, 1.0637,,,, 26769,,,
"AT5G24300.2;AT5G24300.1", 687.2,662,,, 2,2, 4,24,,, 4,24.3,,, 8196.2,18604,,, 0.71,0.71,,, 10314,23412,,
"AT5G08100.1;AT5G08100.2", 634.6,606.8,,, 2,1, 9,24,,, 24.4,,,, 19683,,,, 1.1789,,,, 41129,,,
"AT4G17190.1;AT4G17190.2", 702.8,,,, 1,1, 24,,,, 24.1,,,, 19718,,,, 1.2897,,,, 45076,,,
"AT1G50380.1", 644.5,707.1,,, 1,1, 24,,,, 24.2,,,, 36065,,,, 0.97963,,,, 62621,,,
"AT2G31390.1;AT1G06020.1;AT3G59480.1;AT1G06030.1;AT1G50390.1", 638.6,638.2,,, 2,1, 13,24,,, 24.5,,,, 28205,,,, 1.402,,,, 70091,,,
"AT5G13030.1", 654.9,645.7,,, 2,1, 17,24,,, 23.6,,,, 23883,,,, 1.8047,,,, 76396,,,
"AT3G59760.3;AT3G59760.1;AT3G59760.2", 630.5,636.4,,, 1,1, 24,,,, 24.5,,,, 27699,,,, 1.6435,,,, 80689,,,
"AT4G19880.1;AT4G19880.3;AT4G19880.2;AT5G44990.2;AT5G44990.1", 676.7,680.9,689.3,699.5, 1,1, 24,,,, 24.3,,,, 37003,,,, 1.6696,,,, 1.095e+05,,,
"AT4G12720.3;AT4G12720.2;AT4G12720.1;AT4G12720.4", 672.4,675.5,685.8,, 1,1, 24,,,, 24.4,,,, 43506,,,, 1.5256,,,, 1.1765e+05,,,
"AT4G26300.1", 699.7,694.1,704,, 2,1, 7,24,,, 24.6,,,, 70681,,,, 1.3954,,,, 1.7481e+05,,,
"AT5G36880.1;AT5G36880.2", 768,778.7,789.5,, 1,1, 24,,,, 24.5,,,, 48906,,,, 2.3062,,,, 1.9991e+05,,,
"AT1G12050.1", 776.5,787.2,798,, 1,1, 24,,,, 23.4,,,, 64448,,,, 1.8866,,,, 2.1551e+05,,,
"AT4G34050.1;AT4G34050.2", 755.3,765.4,776.3,, 1,1, 24,,,, 25.4,,,, 50287,,,, 2.4527,,,, 2.1861e+05,,,
"AT4G37980.1;AT4G37980.2;AT4G37990.1", 731.1,728.3,738.6,750, 2,1, 24,30,,, 23.5,,,, 70798,,,, 1.6176,,,, 2.0299e+05,,,
"AT3G10920.1;AT3G10920.2", 731.5,713.8,716.6,728.9, 2,2, 24,29,,, 24.7,29.2,,, 58834,13133,,, 2.0724,0.9581,,, 2.1611e+05,22303,,
