Protein IDs,Bio1_proteinGroups_F28,Bio1_proteinGroups_F29,Bio1_proteinGroups_F30,Bio1_proteinGroups_F31,Bio1_proteinGroups_F32,Bio1_proteinGroups_F33,Bio1_proteinGroups_F34,Bio1_proteinGroups_F35,Bio1_proteinGroups_F36,Bio1_proteinGroups_F37,Bio1_proteinGroups_F38,Bio1_proteinGroups_F39,Bio1_proteinGroups_F40,Bio1_proteinGroups_F41,Bio1_proteinGroups_F42,Bio1_proteinGroups_F43,Bio1_proteinGroups_F44,Bio1_proteinGroups_F45,Bio1_proteinGroups_F46,Bio1_proteinGroups_F47,Bio1_proteinGroups_F48,Bio1_proteinGroups_F49,Bio1_proteinGroups_F50,Bio1_proteinGroups_F51,Bio1_proteinGroups_F52,Bio1_proteinGroups_F53,Bio1_proteinGroups_F54,Bio1_proteinGroups_F55,Bio1_proteinGroups_F56,Bio1_proteinGroups_F57,Bio1_proteinGroups_F58,Bio1_proteinGroups_F59,Bio1_proteinGroups_F60,Bio1_proteinGroups_F61,Bio1_proteinGroups_F62,Bio1_proteinGroups_F63,Bio1_proteinGroups_F64,Bio1_proteinGroups_F65
AT5G10540.1,0,0,0,0,0,0,0,0,0,0,8449.1,0,0,0,0,0,0,0,0,2046.4,17141,3220.1,26041,25838,0,3486.3,0,0,0,0,0,0,0,0,0,0,0,0
AT3G49680.2;AT3G49680.1,0,0,0,0,0,0,5566.6,6773.2,0,0,0,0,0,0,0,0,0,570.7,0,0,0,3151.2,53146,49286,6379.5,22061,1752.7,0,0,0,0,0,0,0,0,0,0,2424
AT2G43710.2;AT2G43710.1,0,0,0,54.925,0,0,0,0,0,0,1698,0,0,0,0,57.865,32.12,0,0,0,6582.6,27988,49706,34122,48282,5995.6,57.816,395.35,0,0,0,0,0,0,4247.2,0,0,44.968
AT5G55220.1,0,0,0,5144.1,0,2026.6,59.287,0,0,0,0,0,0,9761.4,0,0,0,0,0,4322.8,19826,42776,76678,50385,16942,5000.1,2199.5,0,0,0,0,9189.5,0,0,0,0,0,0
AT5G54160.1,0,0,350.09,0,0,908.02,0,0,0,0,0,0,3305.8,0,0,5421.8,0,0,0,0,4063.8,54581,94336,70951,15450,0,0,0,0,0,0,0,0,0,0,0,0,0
AT4G11010.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5548,56617,106860,63791,38361,18650,0,3074.5,0,701.03,0,0,0,0,398.12,0,518.9,917.03
AT5G04885.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G65780.1,0,108.16,742.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6511.2,9008.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G12780.1;AT1G63180.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251.4,12942,0,0,0,0,0,0,630.66,88.936,0,0,0,0,0,0
AT5G16990.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970.2,0,0,0,0,0,0,0,6873.1,6372.6,0,0,0,0,0,0,0,0,0,0,0,0,0
AT5G13690.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4927.7,0,11879,3485.2,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G03980.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5461.1,0,9718.5,0,5132.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G19520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1897.5,0,4212.6,16014,3599.3,2878.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G21060.1;AT5G21060.2;AT5G21060.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5703.5,6705.3,12078,4327.2,3009.6,0,0,0,0,0,0,0,0,0,0,0,0
AT4G38800.1,0,0,0,0,378.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13918,14198,0,4976.4,0,0,0,0,0,0,0,0,0,0,0,0
AT5G24300.2;AT5G24300.1,0,0,0,8506.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15275,7303.5,2715.7,5809.8,0,378.75,0,0,0,0,1461.4,0,0,0,0
AT5G08100.1;AT5G08100.2,0,0,0,0,0,0,0,0,3172.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5226.5,16598,16308,2186.5,1840.1,1863.3,0,0,1152.4,0,0,0,0,0,0,0
AT4G17190.1;AT4G17190.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7860.2,21612,9114.4,8664.7,0,11020,0,0,0,0,0,0,0,0,0,0
AT1G50380.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7687.4,36065,19092,0,3676.9,4021.9,0,0,0,2232.3,0,0,0,0,0,0
AT2G31390.1;AT1G06020.1;AT3G59480.1;AT1G06030.1;AT1G50390.1,0,0,0,0,0,0,0,0,0,0,0,0,1835.6,302.84,0,0,0,0,0,0,0,5154.1,6866,26045,24148,8930.8,2723.6,0,0,0,0,0,0,0,0,0,0,0
AT5G13030.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741.4,0,0,0,4860.8,10743,21362,21727,15882,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G59760.3;AT3G59760.1;AT3G59760.2,0,0,0,0,1123.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12985,27699,23769,14166,546.32,0,0,0,0,0,0,0,0,0,0,0
