"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT1G35720.1", 902.7,913.5,924.4,935.3, 1,1, 24,,,, 23.6,,,, 3.1381e+05,,,, 1.7141,,,, 9.5339e+05,,,
"AT1G36160.2;AT1G36160.1;AT1G36180.1;AT1G36180.2", 573.6,,,, 1,1, 7,,,, 7.12,,,, 26711,,,, 0.71,,,, 33614,,,
"AT1G37130.1", 699.8,697.9,,, 2,1, 14,26,,, 14,,,, 49908,,,, 0.71,,,, 62807,,,
"AT1G42970.1", 1163,1101,1207,1217, 2,2, 3,7,,, 3,7.35,,, 7.233e+06,5.8495e+06,,, 0.71,0.71036,,, 9.1023e+06,7.365e+06,,
"AT1G43170.9;AT1G43170.8;AT1G43170.7;AT1G43170.6;AT1G43170.5;AT1G43170.3;AT1G43170.2;AT1G43170.1;AT1G43170.4;AT1G61580.1", 818.9,932.1,840.5,, 1,1, 3,,,, 3.02,,,, 3.6034e+05,,,, 0.71,,,, 4.5347e+05,,,
"AT1G43560.1", 729.7,720.5,722.7,732.8, 2,1, 3,38,,, 37.8,,,, 1.3673e+05,,,, 1.9846,,,, 3.3038e+05,,,
"AT1G43670.1", 883.6,893.2,903.9,914.7, 1,1, 17,,,, 18,,,, 3.104e+05,,,, 1.83,,,, 1.0068e+06,,,
"AT1G44790.1", 679.9,752.4,,, 1,1, 31,,,, 31.3,,,, 28666,,,, 1.0845,,,, 55106,,,
"AT1G45145.1", 603.7,,,, 1,1, 37,,,, 37.1,,,, 26846,,,, 0.71,,,, 33673,,,
"AT1G45201.1;AT1G45201.2", 832.4,842.3,852.9,, 1,1, 3,,,, 3,,,, 3.635e+05,,,, 0.71,,,, 4.5745e+05,,,
"AT1G47128.1", 914.9,895.1,889.5,894.4, 3,2, 3,19,31,, 3,31.4,,, 1.5863e+05,2.1915e+05,,, 0.71001,1.9692,,, 1.9963e+05,7.6493e+05,,
"AT1G48030.2;AT1G48030.1", 877.3,886.1,896.7,907.6, 1,1, 20,,,, 20.3,,,, 1.1836e+05,,,, 2.6772,,,, 5.6163e+05,,,
"AT1G48420.1", 789.4,799.5,810.3,, 1,1, 23,,,, 23.6,,,, 1.062e+05,,,, 1.3681,,,, 2.5753e+05,,,
